Gene stable ID	Chromosome/scaffold name	Gene Synonym	Gene type	Gene name	NCBI gene (formerly Entrezgene) ID
ENSDARG00000041203	7	fb26e10	protein_coding	drap1	321681
ENSDARG00000041203	7	wu:fb26e10	protein_coding	drap1	321681
ENSDARG00000041203	7	zgc:56003	protein_coding	drap1	321681
ENSDARG00000103484	16	im:7140613	protein_coding	pkdc	797003
ENSDARG00000103484	16	si:ch211-215k15.5	protein_coding	pkdc	797003
ENSDARG00000076213	25		protein_coding	DOCK4	566115
ENSDARG00000056498	24	CRP-like	protein_coding	crp2	
ENSDARG00000056498	24	PTX2	protein_coding	crp2	
ENSDARG00000056498	24	si:ch211-234p6.13	protein_coding	crp2	
ENSDARG00000056498	24	wu:fi20c07	protein_coding	crp2	
ENSDARG00000005775	23	Nav1.6	protein_coding	scn8aa	58152
ENSDARG00000005775	23	scn8a	protein_coding	scn8aa	58152
ENSDARG00000005775	23	zscn4	protein_coding	scn8aa	58152
ENSDARG00000102705	19	zgc:56305	protein_coding	otud6b	393194
ENSDARG00000015015	18	zgc:92637	protein_coding	tspan18b	436712
ENSDARG00000057460	9	zgc:92692	protein_coding	crygm2d13	436681
ENSDARG00000007601	11	prkcbp1	protein_coding	zmynd8	564460
ENSDARG00000101083	18	A04	protein_coding	olfcg2	100004628
ENSDARG00000101083	18	Dr9-2	protein_coding	olfcg2	100004628
ENSDARG00000101083	18	si:dkey-245i2.8	protein_coding	olfcg2	100004628
ENSDARG00000101083	18	v2ra4	protein_coding	olfcg2	100004628
ENSDARG00000098237	22	fbn2	protein_coding	fbn2b	571786
ENSDARG00000098237	22	pfd	protein_coding	fbn2b	571786
ENSDARG00000098237	22	puff daddy	protein_coding	fbn2b	571786
ENSDARG00000098237	22	sco	protein_coding	fbn2b	571786
ENSDARG00000098237	22	scoth tape	protein_coding	fbn2b	571786
ENSDARG00000044808	21	nbce1	protein_coding	slc4a4b	561618
ENSDARG00000036994	3	fi28h02	protein_coding	tbc1d16	450056
ENSDARG00000036994	3	wu:fi28h02	protein_coding	tbc1d16	450056
ENSDARG00000036994	3	zgc:101681	protein_coding	tbc1d16	450056
ENSDARG00000073707	21	fj48e09	protein_coding	cnksr2b	558834
ENSDARG00000073707	21	si:dkey-92k1.12	protein_coding	cnksr2b	558834
ENSDARG00000073707	21	wu:fj48e09	protein_coding	cnksr2b	558834
ENSDARG00000098937	7	zmp:0000000990	protein_coding	si:ch73-315f9.2	
ENSDARG00000097332	15		lincRNA	CU571161.1	
ENSDARG00000041429	18	fi19c12	protein_coding	ints14	327593
ENSDARG00000041429	18	vwa9	protein_coding	ints14	327593
ENSDARG00000041429	18	wu:fi19c12	protein_coding	ints14	327593
ENSDARG00000041429	18	zgc:55794	protein_coding	ints14	327593
ENSDARG00000063347	12	HRC	protein_coding	hrc	102659286
ENSDARG00000063347	12	im:7139860	protein_coding	hrc	102659286
ENSDARG00000063347	12	si:ch211-173d10.1	protein_coding	hrc	102659286
ENSDARG00000063347	12	si:ch211-173d10.3	protein_coding	hrc	102659286
ENSDARG00000063347	12	trpm4b3	protein_coding	hrc	102659286
ENSDARG00000021220	17	zgc:56248	protein_coding	hmgcl	394190
ENSDARG00000059855	5	si:dkey-65b12.4	protein_coding	wdr66	569257
ENSDARG00000055610	20	sec5l1	protein_coding	exoc2	100004870
ENSDARG00000055610	20	zgc:63558	protein_coding	exoc2	100004870
ENSDARG00000040180	20	wu:fl06g06	protein_coding	slc35a1	100004536
ENSDARG00000040180	20	zgc:194176	protein_coding	slc35a1	100004536
ENSDARG00000040180	20	zgc:194179	protein_coding	slc35a1	100004536
ENSDARG00000096619	1		protein_coding	si:ch211-1f22.10	100006104
ENSDARG00000097973	15		protein_coding	si:ch1073-190k2.1	
ENSDARG00000095730	24		protein_coding	si:ch211-234p6.9	
ENSDARG00000057013	2	zgc:136589	protein_coding	cadm3	692273
ENSDARG00000103130	3		TEC	BX571960.2	
ENSDARG00000053344	8	gpr133	protein_coding	adgrd1	
ENSDARG00000053344	8	zgc:103546	protein_coding	adgrd1	
ENSDARG00000093448	13	zgc:92707	protein_coding	mpc1	436671
ENSDARG00000092444	18		processed_transcript	BX088710.1	
ENSDARG00000045299	21	si:ch1073-473i7.3	protein_coding	vmo1b	793799
ENSDARG00000018066	24		protein_coding	ptchd1	562268
ENSDARG00000088316	19		protein_coding	si:ch73-302o18.2	101882887
ENSDARG00000099770	22		lincRNA	CU104782.1	
ENSDARG00000099499	3	wu:fj35d07	protein_coding	ndufa4l	406726
ENSDARG00000099499	3	wu:fj56d06	protein_coding	ndufa4l	406726
ENSDARG00000099499	3	zgc:56564	protein_coding	ndufa4l	406726
ENSDARG00000090624	7		protein_coding	ADGRL3	
ENSDARG00000028088	12	zgc:101541	protein_coding	galk1	449829
ENSDARG00000009657	4	wu:fj17h04	protein_coding	fgfr1op2	335511
ENSDARG00000009657	4	zgc:64126	protein_coding	fgfr1op2	335511
ENSDARG00000030335	6	zgc:77248	protein_coding	zc3h10	404630
ENSDARG00000096465	24		antisense	FP103106.1	
ENSDARG00000019406	7	zgc:103680	protein_coding	C7H11orf68	393420
ENSDARG00000019406	7	zgc:85731	protein_coding	C7H11orf68	393420
ENSDARG00000096472	4		processed_transcript	AL845295.2	
ENSDARG00000096156	4		protein_coding	si:dkey-21h14.12	
ENSDARG00000031283	19	wu:fj59a03	protein_coding	vamp1	406707
ENSDARG00000031283	19	zgc:73378	protein_coding	vamp1	406707
ENSDARG00000077996	2	si:dkey-16l23.1	protein_coding	cdh24b	100007192
ENSDARG00000040465	14	irf2b	protein_coding	irf2	494071
ENSDARG00000040465	14	zgc:103451	protein_coding	irf2	494071
ENSDARG00000043912	20	si:ch211-241p10.1	protein_coding	mei4	568897
ENSDARG00000069827	9	zgc:171793	protein_coding	crygm2d11	100126132
ENSDARG00000017905	1	casp3	protein_coding	casp3a	140621
ENSDARG00000017905	1	zgc:100890	protein_coding	casp3a	140621
ENSDARG00000076160	4		protein_coding	si:dkey-285e18.2	
ENSDARG00000089645	24		protein_coding	si:ch1073-406l10.2	100536977
ENSDARG00000071457	24	PTX6	protein_coding	crp6	797437
ENSDARG00000071457	24	si:ch211-234p6.8	protein_coding	crp6	797437
ENSDARG00000088571	16	si:ch211-151o1.2	protein_coding	si:ch211-151o1.4	558933
ENSDARG00000088571	16	si:ch211-151o1.3	protein_coding	si:ch211-151o1.4	558933
ENSDARG00000061194	12		protein_coding	hectd2	562999
ENSDARG00000042807	8	zgc:158390	protein_coding	slc16a4	567144
ENSDARG00000061864	12	fa07b03	protein_coding	hdlbpb	555414
ENSDARG00000061864	12	sb:eu532	protein_coding	hdlbpb	555414
ENSDARG00000061864	12	si:dkey-38p12.2	protein_coding	hdlbpb	555414
ENSDARG00000061864	12	wu:fa07b03	protein_coding	hdlbpb	555414
ENSDARG00000094524	1		protein_coding	si:ch211-1f22.11	
ENSDARG00000076499	1	si:ch73-140j6.1	protein_coding	usp53b	
ENSDARG00000023053	2	fam129ab	protein_coding	niban1b	561414
ENSDARG00000023053	2	si:dkeyp-92f1.1	protein_coding	niban1b	561414
ENSDARG00000095946	16		protein_coding	si:ch73-341k19.1	100538003
ENSDARG00000105068	3		protein_coding	SMIM22	100334410
ENSDARG00000068515	13	fb62c02	protein_coding	chs1	322468
ENSDARG00000068515	13	si:zfos-1762d12.1	protein_coding	chs1	322468
ENSDARG00000068515	13	wu:fb62c02	protein_coding	chs1	322468
ENSDARG00000102297	24		antisense	CU929307.1	
ENSDARG00000056065	8	si:dkeyp-38g6.3	protein_coding	mov10b.2	555950
ENSDARG00000090889	14	zmp:0000001007	protein_coding	LECT2	793246
ENSDARG00000031420	25	wt1	protein_coding	wt1a	30245
ENSDARG00000031420	25	zwt1	protein_coding	wt1a	30245
ENSDARG00000071037	17	zgc:66124	protein_coding	pex13	393618
ENSDARG00000095879	8	bing4	protein_coding	wdr46	393596
ENSDARG00000095879	8	BING4 protein	protein_coding	wdr46	393596
ENSDARG00000095879	8	Bing4-like	protein_coding	wdr46	393596
ENSDARG00000095879	8	c6orf11l	protein_coding	wdr46	393596
ENSDARG00000095879	8	zgc:63793	protein_coding	wdr46	393596
ENSDARG00000070127	23	si:ch211-149b19.6	protein_coding	nfxl1	100333008
ENSDARG00000074056	20	si:ch211-192k9.2	protein_coding	kctd1	555637
ENSDARG00000063311	16	si:ch211-151o1.2	protein_coding	soga3a	100332515
ENSDARG00000063311	16	si:ch211-151o1.3	protein_coding	soga3a	100332515
ENSDARG00000033466	5	cb223	protein_coding	tagln2	259183
ENSDARG00000033466	5	fa92e03	protein_coding	tagln2	259183
ENSDARG00000033466	5	fb11g09	protein_coding	tagln2	259183
ENSDARG00000033466	5	fi27b02	protein_coding	tagln2	259183
ENSDARG00000033466	5	sm22[a]	protein_coding	tagln2	259183
ENSDARG00000033466	5	tagln3	protein_coding	tagln2	259183
ENSDARG00000033466	5	wu:fa92e03	protein_coding	tagln2	259183
ENSDARG00000033466	5	wu:fb11g09	protein_coding	tagln2	259183
ENSDARG00000033466	5	wu:fi27b02	protein_coding	tagln2	259183
ENSDARG00000030156	24		protein_coding	naglu	560126
ENSDARG00000038359	7	im:6897724	protein_coding	enosf1	558186
ENSDARG00000038359	7	zgc:153148	protein_coding	enosf1	558186
ENSDARG00000061187	23	fc63e02	protein_coding	cbx5	563396
ENSDARG00000061187	23	id:ibd2026	protein_coding	cbx5	563396
ENSDARG00000061187	23	wu:fc63e02	protein_coding	cbx5	563396
ENSDARG00000061187	23	wu:fe47g12	protein_coding	cbx5	563396
ENSDARG00000061187	23	wu:fi03h05	protein_coding	cbx5	563396
ENSDARG00000061187	23	zgc:158601	protein_coding	cbx5	563396
ENSDARG00000039501	5	zgc:153113	protein_coding	ugt2a6	797211
ENSDARG00000039501	5	si:dkey-204e18.4	protein_coding	ugt2a6	797211
ENSDARG00000075456	11		protein_coding	pik3ca	561737
ENSDARG00000035427	5	surf6l	protein_coding	surf6	394040
ENSDARG00000035427	5	zgc:64008	protein_coding	surf6	394040
ENSDARG00000097245	16	si:ch211-151o1.2	protein_coding	soga3a	
ENSDARG00000097245	16	si:ch211-151o1.3	protein_coding	soga3a	
ENSDARG00000117163	4	si:dkey-199m13.6	protein_coding	znf1114	
ENSDARG00000005616	21	Bf-2	protein_coding	bfb	30489
ENSDARG00000062146	24	zgc:153918	protein_coding	larp4b	563742
ENSDARG00000087835	15	fe17a11	protein_coding	si:ch211-113p18.3	559644
ENSDARG00000087835	15	wu:fe17a11	protein_coding	si:ch211-113p18.3	559644
ENSDARG00000056680	14	fd13c01	protein_coding	stc2a	544665
ENSDARG00000056680	14	im:6908722	protein_coding	stc2a	544665
ENSDARG00000056680	14	stc2	protein_coding	stc2a	544665
ENSDARG00000056680	14	wu:fd13c01	protein_coding	stc2a	544665
ENSDARG00000056680	14	zgc:136650	protein_coding	stc2a	544665
ENSDARG00000012341	1	cb545	protein_coding	capn9	445107
ENSDARG00000012341	1	fb77d06	protein_coding	capn9	445107
ENSDARG00000012341	1	wu:fb77d06	protein_coding	capn9	445107
ENSDARG00000012341	1	zgc:92451	protein_coding	capn9	445107
ENSDARG00000053194	14	zgc:77536	protein_coding	pdzd11	405893
ENSDARG00000103883	22		protein_coding	si:ch1073-181h11.2	
ENSDARG00000095704	22	fb94f02	protein_coding	si:dkey-4c15.13	
ENSDARG00000095704	22	wu:fb94f02	protein_coding	si:dkey-4c15.13	
ENSDARG00000008457	1	zgc:92625	protein_coding	faah2a	436973
ENSDARG00000097406	25		protein_coding	si:dkey-81e3.2	793178
ENSDARG00000036215	14	lcp2	protein_coding	lcp2b	100004351
ENSDARG00000036215	14	si:ch211-232m8.2	protein_coding	lcp2b	100004351
ENSDARG00000002508	6		protein_coding	ankrd33ab	569518
ENSDARG00000102585	23	si:zfos-656f9.2	protein_coding	fam160a1b	100332943
ENSDARG00000096187	4		protein_coding	si:dkey-21h14.10	
ENSDARG00000105171	22		processed_transcript	AL935303.1	
ENSDARG00000025346	25	zgc:66407	protein_coding	znf277	393402
ENSDARG00000059354	19	zgc:92308	protein_coding	glmp	447841
ENSDARG00000070959	19	wu:fb22a04	protein_coding	si:ch211-288g17.3	567638
ENSDARG00000070959	19	wu:fb33e03	protein_coding	si:ch211-288g17.3	567638
ENSDARG00000070959	19	wu:fi72f12	protein_coding	si:ch211-288g17.3	567638
ENSDARG00000086425	16	HPRP3	protein_coding	prpf3	403072
ENSDARG00000086425	16	wu:fa11f05	protein_coding	prpf3	403072
ENSDARG00000090194	8	hbxip	protein_coding	lamtor5	100333504
ENSDARG00000090194	8	hepatitis B virus x interacting protein	protein_coding	lamtor5	100333504
ENSDARG00000090194	8	si:dkey-176g4.2	protein_coding	lamtor5	100333504
ENSDARG00000094410	22		processed_transcript	si:dkey-4c15.14	100038795
ENSDARG00000062562	15	Hif-p4H-1	protein_coding	egln2	559569
ENSDARG00000062562	15	si:ch211-113p18.4	protein_coding	egln2	559569
ENSDARG00000075556	17	fk86c01	protein_coding	luzp1	558606
ENSDARG00000075556	17	im:7158001	protein_coding	luzp1	558606
ENSDARG00000075556	17	si:dkey-265g24.4	protein_coding	luzp1	558606
ENSDARG00000075556	17	wu:fk86c01	protein_coding	luzp1	558606
ENSDARG00000033227	14	ect2l	protein_coding	lect2l	567278
ENSDARG00000076014	4		protein_coding	ERC1	560003
ENSDARG00000026871	1	cb358	protein_coding	uchl1	325119
ENSDARG00000026871	1	wu:fc55h08	protein_coding	uchl1	325119
ENSDARG00000099304	14		protein_coding	si:ch211-51f19.1	
ENSDARG00000088885	15	fb16f09	protein_coding	si:ch1073-340i21.3	570991
ENSDARG00000088885	15	wu:fb16f09	protein_coding	si:ch1073-340i21.3	570991
ENSDARG00000023645	5	ccbl1	protein_coding	kyat1	791592
ENSDARG00000023645	5	zgc:63644	protein_coding	kyat1	791592
ENSDARG00000094425	18		protein_coding	si:ch211-222m18.4	
ENSDARG00000094886	19		protein_coding	si:dkey-266f7.5	100006143
ENSDARG00000101009	16	cb305	protein_coding	cited4b	100006037
ENSDARG00000101009	16	cited3	protein_coding	cited4b	100006037
ENSDARG00000101009	16	id:ibd5008	protein_coding	cited4b	100006037
ENSDARG00000101009	16	zgc:55257	protein_coding	cited4b	100006037
ENSDARG00000086327	5	im:7136231	protein_coding	srrm4	796574
ENSDARG00000086327	5	si:dkey-1k23.1	protein_coding	srrm4	796574
ENSDARG00000086327	5	ZnSR100	protein_coding	srrm4	796574
ENSDARG00000103738	16		processed_transcript	FP085399.2	100149761
ENSDARG00000016038	18	ptplad1	protein_coding	hacd3	393441
ENSDARG00000016038	18	zgc:63632	protein_coding	hacd3	393441
ENSDARG00000098876	4		protein_coding	si:dkey-199m13.5	
ENSDARG00000061120	10	cb941	protein_coding	slc43a2b	494042
ENSDARG00000061120	10	wu:fb37c04	protein_coding	slc43a2b	494042
ENSDARG00000061120	10	wu:fb38e03	protein_coding	slc43a2b	494042
ENSDARG00000061120	10	wu:fb52a10	protein_coding	slc43a2b	494042
ENSDARG00000061120	10	wu:fi32b04	protein_coding	slc43a2b	494042
ENSDARG00000061120	10	xx:lithzf000079	protein_coding	slc43a2b	494042
ENSDARG00000061120	10	zgc:103664	protein_coding	slc43a2b	494042
ENSDARG00000002582	9	zgc:158205	protein_coding	tbx15	246222
ENSDARG00000002582	9	zgc:63576	protein_coding	tbx15	246222
ENSDARG00000031930	4	si:ch211-234p1.2	protein_coding	erc1b	
ENSDARG00000031930	4	si:dkey-85m15.2	protein_coding	erc1b	
ENSDARG00000105500	7		unprocessed_pseudogene	BX000524.2	
ENSDARG00000103941	16		processed_transcript	FP085399.3	
ENSDARG00000060008	17	si:ch211-202f3.1	protein_coding	hhipl2	560376
ENSDARG00000044924	11	bmp11	protein_coding	gdf11	406247
ENSDARG00000021163	19	fj24f03	protein_coding	thrb	30607
ENSDARG00000021163	19	nr1a2	protein_coding	thrb	30607
ENSDARG00000021163	19	trb	protein_coding	thrb	30607
ENSDARG00000021163	19	TR[b]1	protein_coding	thrb	30607
ENSDARG00000021163	19	wu:fj24f03	protein_coding	thrb	30607
ENSDARG00000071487	21		protein_coding	zgc:152948	767666
ENSDARG00000104882	16		processed_transcript	FP085399.5	
ENSDARG00000028066	11	diras1	protein_coding	diras1a	327577
ENSDARG00000028066	11	fi18d11	protein_coding	diras1a	327577
ENSDARG00000028066	11	wu:fi18d11	protein_coding	diras1a	327577
ENSDARG00000028066	11	zgc:55360	protein_coding	diras1a	327577
ENSDARG00000005544	1	btbd3	protein_coding	btbd3a	563691
ENSDARG00000005544	1	si:dkey-210m15.6	protein_coding	btbd3a	563691
ENSDARG00000093833	2	fj83h03	protein_coding	si:ch73-382f3.1	100151273
ENSDARG00000093833	2	wu:fj83h03	protein_coding	si:ch73-382f3.1	100151273
ENSDARG00000102061	22	zgc:76904	protein_coding	b3galt2	404633
ENSDARG00000030804	13	zgc:101006	protein_coding	fam120b	445206
ENSDARG00000013252	3	si:dkey-202l16.5	protein_coding	tmc5	561497
ENSDARG00000013252	3	TMC5	protein_coding	tmc5	561497
ENSDARG00000013252	3	unm_sa506	protein_coding	tmc5	561497
ENSDARG00000062326	5	fb74a08	protein_coding	hmgn7	567263
ENSDARG00000062326	5	wu:fb74a08	protein_coding	hmgn7	567263
ENSDARG00000062326	5	zgc:158409	protein_coding	hmgn7	567263
ENSDARG00000070868	23	zgc:152916	protein_coding	cfap126	751706
ENSDARG00000092813	2	si:dkeyp-51f11.10	protein_coding	fndc7rs4	
ENSDARG00000053884	10	im:7158513	protein_coding	med13a	100004024
ENSDARG00000053884	10	med13	protein_coding	med13a	100004024
ENSDARG00000053884	10	si:dkeyp-53h3.2	protein_coding	med13a	100004024
ENSDARG00000053884	10	thrap1	protein_coding	med13a	100004024
ENSDARG00000112474	24		lincRNA	CU927887.1	
ENSDARG00000069504	18		protein_coding	si:dkey-88e18.2	100001799
ENSDARG00000025554	11	zgc:73111	protein_coding	wdr83os	393689
ENSDARG00000068792	8		processed_transcript	BX324132.1	
ENSDARG00000013492	8		protein_coding	zbtb34	100004439
ENSDARG00000103118	25	zgc:112015	protein_coding	cib1	550376
ENSDARG00000092267	2		unprocessed_pseudogene	CR788230.1	
ENSDARG00000079727	2	cb689	protein_coding	selenop2	791479
ENSDARG00000079727	2	fb59b06	protein_coding	selenop2	791479
ENSDARG00000079727	2	id:ibd5022	protein_coding	selenop2	791479
ENSDARG00000079727	2	SelPb	protein_coding	selenop2	791479
ENSDARG00000079727	2	sePb	protein_coding	selenop2	791479
ENSDARG00000079727	2	sepp1b	protein_coding	selenop2	791479
ENSDARG00000079727	2	SePPb	protein_coding	selenop2	791479
ENSDARG00000079727	2	wu:fb59b06	protein_coding	selenop2	791479
ENSDARG00000070487	17	marc2	protein_coding	marc1	378742
ENSDARG00000070487	17	sb:cb792	protein_coding	marc1	378742
ENSDARG00000070487	17	zgc:110783	protein_coding	marc1	378742
