Gene stable ID	Gene name	Chromosome/scaffold name	Gene Synonym	Gene type	NCBI gene (formerly Entrezgene) ID
FBgn0267987	lncRNA:CR46254	2L	lncRNA:CR46254	ncRNA	26067564
FBgn0266878	lncRNA:CR45339	2L	lncRNA:CR45339	ncRNA	19834983
FBgn0266878	lncRNA:CR45339	2L	lncRNA:CR45339	ncRNA	19834983
FBgn0266879	lncRNA:CR45340	2L	lncRNA:CR45340	ncRNA	19835538
FBgn0266879	lncRNA:CR45340	2L	lncRNA:CR45340	ncRNA	19835538
FBgn0067779	dbr	2L	dbr	protein_coding	33161
FBgn0067779	dbr	2L	dbr	protein_coding	33161
FBgn0266322	asRNA:CR44987	2L	asRNA:CR44987	ncRNA	19835103
FBgn0266322	asRNA:CR44987	2L	asRNA:CR44987	ncRNA	19835103
FBgn0031213	galectin	2L	galectin	protein_coding	33162
FBgn0031213	galectin	2L	galectin	protein_coding	33162
FBgn0031214	CG11374	2L	CG11374	protein_coding	33163
FBgn0031214	CG11374	2L	CG11374	protein_coding	33163
FBgn0002931	net	2L	net	protein_coding	45339
FBgn0002931	net	2L	net	protein_coding	45339
FBgn0031216	Zir	2L	Zir	protein_coding	33165
FBgn0031216	Zir	2L	Zir	protein_coding	33165
FBgn0031217	CG11377	2L	CG11377	protein_coding	33166
FBgn0031217	CG11377	2L	CG11377	protein_coding	33166
FBgn0026787	Nhe1	2L	Nhe1	protein_coding	33167
FBgn0026787	Nhe1	2L	Nhe1	protein_coding	33167
FBgn0005278	Sam-S	2L	Sam-S	protein_coding	48552
FBgn0005278	Sam-S	2L	Sam-S	protein_coding	48552
FBgn0031228	ND-15	2L	ND-15	protein_coding	33179
FBgn0031228	ND-15	2L	ND-15	protein_coding	33179
FBgn0031219	CG13694	2L	CG13694	protein_coding	33169
FBgn0031219	CG13694	2L	CG13694	protein_coding	33169
FBgn0031220	CG4822	2L	CG4822	protein_coding	33170
FBgn0031220	CG4822	2L	CG4822	protein_coding	33170
FBgn0025683	CG3164	2L	CG3164	protein_coding	33171
FBgn0025683	CG3164	2L	CG3164	protein_coding	33171
FBgn0266304	asRNA:CR44969	2L	asRNA:CR44969	ncRNA	19835409
FBgn0266304	asRNA:CR44969	2L	asRNA:CR44969	ncRNA	19835409
FBgn0001142	Gs1	2L	Gs1	protein_coding	33172
FBgn0001142	Gs1	2L	Gs1	protein_coding	33172
FBgn0265074	lncRNA:CR44185	2L	lncRNA:CR44185	ncRNA	14462644
FBgn0265074	lncRNA:CR44185	2L	lncRNA:CR44185	ncRNA	14462644
FBgn0265075	lncRNA:CR44186	2L	lncRNA:CR44186	ncRNA	14462645
FBgn0265075	lncRNA:CR44186	2L	lncRNA:CR44186	ncRNA	14462645
FBgn0051975	CG31975	2L	CG31975	protein_coding	319052
FBgn0051975	CG31975	2L	CG31975	protein_coding	319052
FBgn0051976	ovm	2L	ovm	protein_coding	326181
FBgn0051976	ovm	2L	ovm	protein_coding	326181
FBgn0051974	CG31974	2L	CG31974	protein_coding	33174
FBgn0051974	CG31974	2L	CG31974	protein_coding	33174
FBgn0031224	CG11454	2L	CG11454	protein_coding	33175
FBgn0031224	CG11454	2L	CG11454	protein_coding	33175
FBgn0259818	CG42399	2L	CG42399	protein_coding	33176
FBgn0259818	CG42399	2L	CG42399	protein_coding	33176
FBgn0031227	CG3709	2L	CG3709	protein_coding	33178
FBgn0031227	CG3709	2L	CG3709	protein_coding	33178
FBgn0031229	CG3436	2L	CG3436	protein_coding	33180
FBgn0031229	CG3436	2L	CG3436	protein_coding	33180
FBgn0053635	CG33635	2L	CG33635	protein_coding	3772540
FBgn0053635	CG33635	2L	CG33635	protein_coding	3772540
FBgn0016977	spen	2L	spen	protein_coding	44205
FBgn0016977	spen	2L	spen	protein_coding	44205
FBgn0031231	mRpL10	2L	mRpL10	protein_coding	33182
FBgn0031231	mRpL10	2L	mRpL10	protein_coding	33182
FBgn0031232	CG11617	2L	CG11617	protein_coding	33183
FBgn0031232	CG11617	2L	CG11617	protein_coding	33183
FBgn0031233	Tbc1d15-17	2L	Tbc1d15-17	protein_coding	33184
FBgn0031233	Tbc1d15-17	2L	Tbc1d15-17	protein_coding	33184
FBgn0266557	kis	2L	kis	protein_coding	33185
FBgn0266557	kis	2L	kis	protein_coding	33185
FBgn0265151	lncRNA:CR44220	2L	lncRNA:CR44220	ncRNA	14462646
FBgn0265151	lncRNA:CR44220	2L	lncRNA:CR44220	ncRNA	14462646
FBgn0265153	lncRNA:CR44222	2L	lncRNA:CR44222	ncRNA	14462647
FBgn0265153	lncRNA:CR44222	2L	lncRNA:CR44222	ncRNA	14462647
FBgn0265152	lncRNA:CR44221	2L	lncRNA:CR44221	ncRNA	14462648
FBgn0265152	lncRNA:CR44221	2L	lncRNA:CR44221	ncRNA	14462648
FBgn0263465	snoRNA:kis-a	2L	snoRNA:kis-a	snoRNA	12797868
FBgn0263465	snoRNA:kis-a	2L	snoRNA:kis-a	snoRNA	12797868
FBgn0031235	CG13693	2L	CG13693	protein_coding	33187
FBgn0031235	CG13693	2L	CG13693	protein_coding	33187
FBgn0262252	mir-965	2L	mir-965	pre_miRNA	12797869
FBgn0262252	mir-965	2L	mir-965	pre_miRNA	12797869
FBgn0265149	lncRNA:CR44218	2L	lncRNA:CR44218	ncRNA	14462649
FBgn0265149	lncRNA:CR44218	2L	lncRNA:CR44218	ncRNA	14462649
FBgn0283652	Rpp30	2L	Rpp30	protein_coding	44392
FBgn0283652	Rpp30	2L	Rpp30	protein_coding	44392
FBgn0031238	CG3645	2L	CG3645	protein_coding	33190
FBgn0031238	CG3645	2L	CG3645	protein_coding	33190
FBgn0031239	CG17075	2L	CG17075	protein_coding	33191
FBgn0031239	CG17075	2L	CG17075	protein_coding	33191
FBgn0265150	lncRNA:CR44219	2L	lncRNA:CR44219	ncRNA	14462650
FBgn0265150	lncRNA:CR44219	2L	lncRNA:CR44219	ncRNA	14462650
FBgn0031240	CG3345	2L	CG3345	protein_coding	33192
FBgn0031240	CG3345	2L	CG3345	protein_coding	33192
FBgn0086912	mbm	2L	mbm	protein_coding	33194
FBgn0086912	mbm	2L	mbm	protein_coding	33194
FBgn0086856	CG11555	2L	CG11555	protein_coding	33193
FBgn0086856	CG11555	2L	CG11555	protein_coding	33193
FBgn0086855	CG17078	2L	CG17078	protein_coding	33195
FBgn0086855	CG17078	2L	CG17078	protein_coding	33195
FBgn0003444	smo	2L	smo	protein_coding	33196
FBgn0003444	smo	2L	smo	protein_coding	33196
FBgn0031244	CG11601	2L	CG11601	protein_coding	33197
FBgn0031244	CG11601	2L	CG11601	protein_coding	33197
FBgn0031245	CG3625	2L	CG3625	protein_coding	33198
FBgn0031245	CG3625	2L	CG3625	protein_coding	33198
FBgn0267995	asRNA:CR46262	2L	asRNA:CR46262	ncRNA	26067572
FBgn0267995	asRNA:CR46262	2L	asRNA:CR46262	ncRNA	26067572
FBgn0267996	asRNA:CR46263	2L	asRNA:CR46263	ncRNA	26067573
FBgn0267996	asRNA:CR46263	2L	asRNA:CR46263	ncRNA	26067573
FBgn0025686	Amnionless	2L	Amnionless	protein_coding	33199
FBgn0025686	Amnionless	2L	Amnionless	protein_coding	33199
FBgn0031247	CG11562	2L	CG11562	protein_coding	33200
FBgn0031247	CG11562	2L	CG11562	protein_coding	33200
FBgn0017457	U2af38	2L	U2af38	protein_coding	33201
FBgn0017457	U2af38	2L	U2af38	protein_coding	33201
FBgn0024352	Stip1	2L	Stip1	protein_coding	33202
FBgn0024352	Stip1	2L	Stip1	protein_coding	33202
FBgn0020622	Pi3K21B	2L	Pi3K21B	protein_coding	33203
FBgn0020622	Pi3K21B	2L	Pi3K21B	protein_coding	33203
FBgn0004611	Plc21C	2L	Plc21C	protein_coding	33204
FBgn0004611	Plc21C	2L	Plc21C	protein_coding	33204
FBgn0263872	lncRNA:CR43719	2L	lncRNA:CR43719	ncRNA	14462651
FBgn0263872	lncRNA:CR43719	2L	lncRNA:CR43719	ncRNA	14462651
FBgn0031248	CG11912	2L	CG11912	protein_coding	33205
FBgn0031248	CG11912	2L	CG11912	protein_coding	33205
FBgn0031249	CG11911	2L	CG11911	protein_coding	33206
FBgn0031249	CG11911	2L	CG11911	protein_coding	33206
FBgn0053127	CG33127	2L	CG33127	protein_coding	318893
FBgn0053127	CG33127	2L	CG33127	protein_coding	318893
FBgn0264086	CG43755	2L	CG43755	protein_coding	319026
FBgn0264086	CG43755	2L	CG43755	protein_coding	319026
FBgn0051921	CG31921	2L	CG31921	protein_coding	319027
FBgn0051921	CG31921	2L	CG31921	protein_coding	319027
FBgn0031250	Ent1	2L	Ent1	protein_coding	33207
FBgn0031250	Ent1	2L	Ent1	protein_coding	33207
FBgn0266907	asRNA:CR45367	2L	asRNA:CR45367	ncRNA	19835000
FBgn0266907	asRNA:CR45367	2L	asRNA:CR45367	ncRNA	19835000
FBgn0266906	asRNA:CR45366	2L	asRNA:CR45366	ncRNA	19835501
FBgn0266906	asRNA:CR45366	2L	asRNA:CR45366	ncRNA	19835501
FBgn0000061	al	2L	al	protein_coding	33208
FBgn0000061	al	2L	al	protein_coding	33208
FBgn0263871	lncRNA:CR43718	2L	lncRNA:CR43718	ncRNA	14462652
FBgn0263871	lncRNA:CR43718	2L	lncRNA:CR43718	ncRNA	14462652
FBgn0031251	CG4213	2L	CG4213	protein_coding	33209
FBgn0031251	CG4213	2L	CG4213	protein_coding	33209
FBgn0003278	RpI135	2L	RpI135	protein_coding	33210
FBgn0003278	RpI135	2L	RpI135	protein_coding	33210
FBgn0264855	AP-2alpha	2L	AP-2alpha	protein_coding	33211
FBgn0264855	AP-2alpha	2L	AP-2alpha	protein_coding	33211
FBgn0263933	ebi	2L	ebi	protein_coding	33212
FBgn0263933	ebi	2L	ebi	protein_coding	33212
FBgn0031252	CG13690	2L	CG13690	protein_coding	33213
FBgn0031252	CG13690	2L	CG13690	protein_coding	33213
FBgn0002593	RpLP1	2L	RpLP1	protein_coding	33214
FBgn0002593	RpLP1	2L	RpLP1	protein_coding	33214
FBgn0031253	CG11885	2L	CG11885	protein_coding	33215
FBgn0031253	CG11885	2L	CG11885	protein_coding	33215
FBgn0031254	CG13692	2L	CG13692	protein_coding	33216
FBgn0031254	CG13692	2L	CG13692	protein_coding	33216
FBgn0031255	BBS8	2L	BBS8	protein_coding	33217
FBgn0031255	BBS8	2L	BBS8	protein_coding	33217
FBgn0004583	ex	2L	ex	protein_coding	33218
FBgn0004583	ex	2L	ex	protein_coding	33218
FBgn0263870	lncRNA:CR43717	2L	lncRNA:CR43717	ncRNA	14462653
FBgn0263870	lncRNA:CR43717	2L	lncRNA:CR43717	ncRNA	14462653
FBgn0015924	crq	2L	crq	protein_coding	33219
FBgn0015924	crq	2L	crq	protein_coding	33219
FBgn0031256	shv	2L	shv	protein_coding	33220
FBgn0031256	shv	2L	shv	protein_coding	33220
FBgn0262510	CR43080	2L	CR43080	pseudogene	
FBgn0262510	CR43080	2L	CR43080	pseudogene	
FBgn0031257	CG4133	2L	CG4133	protein_coding	33221
FBgn0031257	CG4133	2L	CG4133	protein_coding	33221
FBgn0031258	CG4297	2L	CG4297	protein_coding	33222
FBgn0031258	CG4297	2L	CG4297	protein_coding	33222
FBgn0027592	MED15	2L	MED15	protein_coding	33223
FBgn0027592	MED15	2L	MED15	protein_coding	33223
FBgn0003963	ush	2L	ush	protein_coding	33225
FBgn0003963	ush	2L	ush	protein_coding	33225
FBgn0043364	cbt	2L	cbt	protein_coding	33224
FBgn0043364	cbt	2L	cbt	protein_coding	33224
FBgn0267991	lncRNA:CR46258	2L	lncRNA:CR46258	ncRNA	26067568
FBgn0267991	lncRNA:CR46258	2L	lncRNA:CR46258	ncRNA	26067568
FBgn0267992	lncRNA:CR46259	2L	lncRNA:CR46259	ncRNA	26067569
FBgn0267992	lncRNA:CR46259	2L	lncRNA:CR46259	ncRNA	26067569
FBgn0010602	lwr	2L	lwr	protein_coding	33226
FBgn0010602	lwr	2L	lwr	protein_coding	33226
FBgn0031260	Spp	2L	Spp	protein_coding	33227
FBgn0031260	Spp	2L	Spp	protein_coding	33227
FBgn0005660	Ets21C	2L	Ets21C	protein_coding	33229
FBgn0005660	Ets21C	2L	Ets21C	protein_coding	33229
FBgn0031261	nAChRbeta3	2L	nAChRbeta3	protein_coding	33228
FBgn0031261	nAChRbeta3	2L	nAChRbeta3	protein_coding	33228
FBgn0260933	rempA	2L	rempA	protein_coding	33230
FBgn0260933	rempA	2L	rempA	protein_coding	33230
FBgn0031263	Tspo	2L	Tspo	protein_coding	33231
FBgn0031263	Tspo	2L	Tspo	protein_coding	33231
FBgn0031264	CG11835	2L	CG11835	protein_coding	33232
FBgn0031264	CG11835	2L	CG11835	protein_coding	33232
FBgn0031265	CG2794	2L	CG2794	protein_coding	33233
FBgn0031265	CG2794	2L	CG2794	protein_coding	33233
FBgn0021874	Nle	2L	Nle	protein_coding	33234
FBgn0021874	Nle	2L	Nle	protein_coding	33234
FBgn0031266	Sf3b1	2L	Sf3b1	protein_coding	33235
FBgn0031266	Sf3b1	2L	Sf3b1	protein_coding	33235
FBgn0031267	Ipk2	2L	Ipk2	protein_coding	33236
FBgn0031267	Ipk2	2L	Ipk2	protein_coding	33236
FBgn0031268	cold	2L	cold	protein_coding	33237
FBgn0031268	cold	2L	cold	protein_coding	33237
FBgn0013323	Ptth	2L	Ptth	protein_coding	33238
FBgn0013323	Ptth	2L	Ptth	protein_coding	33238
FBgn0023489	Pph13	2L	Pph13	protein_coding	33239
FBgn0023489	Pph13	2L	Pph13	protein_coding	33239
FBgn0010323	Gsc	2L	Gsc	protein_coding	33240
FBgn0010323	Gsc	2L	Gsc	protein_coding	33240
FBgn0267827	lncRNA:CR46148	2L	lncRNA:CR46148	ncRNA	26067463
FBgn0267827	lncRNA:CR46148	2L	lncRNA:CR46148	ncRNA	26067463
FBgn0031270	CG13689	2L	CG13689	protein_coding	33241
FBgn0031270	CG13689	2L	CG13689	protein_coding	33241
FBgn0263657	lncRNA:CR43648	2L	lncRNA:CR43648	ncRNA	14462654
FBgn0263657	lncRNA:CR43648	2L	lncRNA:CR43648	ncRNA	14462654
FBgn0263658	lncRNA:CR43649	2L	lncRNA:CR43649	ncRNA	14462655
FBgn0263658	lncRNA:CR43649	2L	lncRNA:CR43649	ncRNA	14462655
FBgn0040106	lectin-21Cb	2L	lectin-21Cb	protein_coding	33242
FBgn0040106	lectin-21Cb	2L	lectin-21Cb	protein_coding	33242
FBgn0266032	lncRNA:CR44797	2L	lncRNA:CR44797	ncRNA	19836232
FBgn0266032	lncRNA:CR44797	2L	lncRNA:CR44797	ncRNA	19836232
FBgn0266033	lncRNA:CR44798	2L	lncRNA:CR44798	ncRNA	19835090
FBgn0266033	lncRNA:CR44798	2L	lncRNA:CR44798	ncRNA	19835090
FBgn0040107	lectin-21Ca	2L	lectin-21Ca	protein_coding	53552
FBgn0040107	lectin-21Ca	2L	lectin-21Ca	protein_coding	53552
FBgn0031273	CG2839	2L	CG2839	protein_coding	33244
FBgn0031273	CG2839	2L	CG2839	protein_coding	33244
FBgn0266909	lncRNA:CR45369	2L	lncRNA:CR45369	ncRNA	19835154
FBgn0266909	lncRNA:CR45369	2L	lncRNA:CR45369	ncRNA	19835154
FBgn0284247	ds	2L	ds	protein_coding	33245
FBgn0284247	ds	2L	ds	protein_coding	33245
FBgn0266323	lncRNA:CR44988	2L	lncRNA:CR44988	ncRNA	19836079
FBgn0266323	lncRNA:CR44988	2L	lncRNA:CR44988	ncRNA	19836079
FBgn0267993	lncRNA:CR46260	2L	lncRNA:CR46260	ncRNA	26067570
FBgn0267993	lncRNA:CR46260	2L	lncRNA:CR46260	ncRNA	26067570
FBgn0011244	Hsp60B	2L	Hsp60B	protein_coding	48572
FBgn0011244	Hsp60B	2L	Hsp60B	protein_coding	48572
FBgn0026438	Eaat2	2L	Eaat2	protein_coding	33247
FBgn0026438	Eaat2	2L	Eaat2	protein_coding	33247
FBgn0031275	GABA-B-R3	2L	GABA-B-R3	protein_coding	33248
FBgn0031275	GABA-B-R3	2L	GABA-B-R3	protein_coding	33248
FBgn0265825	lncRNA:CR44614	2L	lncRNA:CR44614	ncRNA	19835404
FBgn0265825	lncRNA:CR44614	2L	lncRNA:CR44614	ncRNA	19835404
FBgn0031276	CG12506	2L	CG12506	protein_coding	33249
FBgn0031276	CG12506	2L	CG12506	protein_coding	33249
FBgn0040725	CG13946	2L	CG13946	protein_coding	50198
FBgn0040725	CG13946	2L	CG13946	protein_coding	50198
FBgn0031277	CG13947	2L	CG13947	protein_coding	33250
FBgn0031277	CG13947	2L	CG13947	protein_coding	33250
FBgn0041250	Gr21a	2L	Gr21a	protein_coding	33251
FBgn0041250	Gr21a	2L	Gr21a	protein_coding	33251
FBgn0031279	CG3544	2L	CG3544	protein_coding	33252
FBgn0031279	CG3544	2L	CG3544	protein_coding	33252
FBgn0000442	Pkg21D	2L	Pkg21D	protein_coding	33253
FBgn0000442	Pkg21D	2L	Pkg21D	protein_coding	33253
FBgn0266797	lncRNA:CR45259	2L	lncRNA:CR45259	ncRNA	19835966
FBgn0266797	lncRNA:CR45259	2L	lncRNA:CR45259	ncRNA	19835966
FBgn0051658	Nnf1b	2L	Nnf1b	protein_coding	318874
FBgn0051658	Nnf1b	2L	Nnf1b	protein_coding	318874
FBgn0086130	Dbp21E2	2L	Dbp21E2	protein_coding	33254
FBgn0086130	Dbp21E2	2L	Dbp21E2	protein_coding	33254
FBgn0031281	Saf6	2L	Saf6	protein_coding	33255
FBgn0031281	Saf6	2L	Saf6	protein_coding	33255
FBgn0031282	Pex12	2L	Pex12	protein_coding	33256
FBgn0031282	Pex12	2L	Pex12	protein_coding	33256
FBgn0031283	CG15880	2L	CG15880	protein_coding	33257
FBgn0031283	CG15880	2L	CG15880	protein_coding	33257
FBgn0031284	PGAP2	2L	PGAP2	protein_coding	33258
FBgn0031284	PGAP2	2L	PGAP2	protein_coding	33258
FBgn0015621	Clp	2L	Clp	protein_coding	33259
FBgn0015621	Clp	2L	Clp	protein_coding	33259
FBgn0031285	CG3662	2L	CG3662	protein_coding	33260
FBgn0031285	CG3662	2L	CG3662	protein_coding	33260
FBgn0031286	CG3862	2L	CG3862	protein_coding	33261
FBgn0031286	CG3862	2L	CG3862	protein_coding	33261
FBgn0010583	dock	2L	dock	protein_coding	33262
FBgn0010583	dock	2L	dock	protein_coding	33262
FBgn0020304	drongo	2L	drongo	protein_coding	33263
FBgn0020304	drongo	2L	drongo	protein_coding	33263
FBgn0264869	lncRNA:CR44060	2L	lncRNA:CR44060	ncRNA	14462656
FBgn0264869	lncRNA:CR44060	2L	lncRNA:CR44060	ncRNA	14462656
FBgn0031287	CG4291	2L	CG4291	protein_coding	33264
FBgn0031287	CG4291	2L	CG4291	protein_coding	33264
FBgn0020545	kraken	2L	kraken	protein_coding	33265
FBgn0020545	kraken	2L	kraken	protein_coding	33265
FBgn0031288	CG13949	2L	CG13949	protein_coding	33266
FBgn0031288	CG13949	2L	CG13949	protein_coding	33266
FBgn0266884	lncRNA:CR45345	2L	lncRNA:CR45345	ncRNA	19835464
FBgn0266884	lncRNA:CR45345	2L	lncRNA:CR45345	ncRNA	19835464
FBgn0262177	mir-375	2L	mir-375	pre_miRNA	12797871
FBgn0262177	mir-375	2L	mir-375	pre_miRNA	12797871
FBgn0031289	CG13950	2L	CG13950	protein_coding	33267
FBgn0031289	CG13950	2L	CG13950	protein_coding	33267
FBgn0029095	aru	2L	aru	protein_coding	33268
FBgn0029095	aru	2L	aru	protein_coding	33268
FBgn0086031	snoRNA:Me28S-U1230	2L	snoRNA:Me28S-U1230	snoRNA	5740110
FBgn0086031	snoRNA:Me28S-U1230	2L	snoRNA:Me28S-U1230	snoRNA	5740110
FBgn0020305	dbe	2L	dbe	protein_coding	33269
FBgn0020305	dbe	2L	dbe	protein_coding	33269
FBgn0053526	PNUTS	2L	PNUTS	protein_coding	33270
FBgn0053526	PNUTS	2L	PNUTS	protein_coding	33270
FBgn0031292	CG15824	2L	CG15824	protein_coding	33272
FBgn0031292	CG15824	2L	CG15824	protein_coding	33272
FBgn0002936	ninaA	2L	ninaA	protein_coding	33271
FBgn0002936	ninaA	2L	ninaA	protein_coding	33271
FBgn0266887	lncRNA:CR45348	2L	lncRNA:CR45348	ncRNA	19835631
FBgn0266887	lncRNA:CR45348	2L	lncRNA:CR45348	ncRNA	19835631
FBgn0002563	Lsp1beta	2L	Lsp1beta	protein_coding	33274
FBgn0002563	Lsp1beta	2L	Lsp1beta	protein_coding	33274
FBgn0003916	snRNA:U1:21D	2L	snRNA:U1:21D	snRNA	3772520
FBgn0003916	snRNA:U1:21D	2L	snRNA:U1:21D	snRNA	3772520
FBgn0286735	scaRNA:MeU1:95C-A24	2L	scaRNA:MeU1:95C-A24	snoRNA	39877419
FBgn0286735	scaRNA:MeU1:95C-A24	2L	scaRNA:MeU1:95C-A24	snoRNA	39877419
FBgn0266799	lncRNA:CR45261	2L	lncRNA:CR45261	ncRNA	19835568
FBgn0266799	lncRNA:CR45261	2L	lncRNA:CR45261	ncRNA	19835568
FBgn0264870	lncRNA:CR44061	2L	lncRNA:CR44061	ncRNA	14462657
FBgn0264870	lncRNA:CR44061	2L	lncRNA:CR44061	ncRNA	14462657
FBgn0046113	GluRIIC	2L	GluRIIC	protein_coding	33275
FBgn0046113	GluRIIC	2L	GluRIIC	protein_coding	33275
FBgn0028481	CG4341	2L	CG4341	protein_coding	33276
FBgn0028481	CG4341	2L	CG4341	protein_coding	33276
FBgn0266036	lncRNA:CR44801	2L	lncRNA:CR44801	ncRNA	19834880
FBgn0266036	lncRNA:CR44801	2L	lncRNA:CR44801	ncRNA	19834880
FBgn0031294	IA-2	2L	IA-2	protein_coding	33277
FBgn0031294	IA-2	2L	IA-2	protein_coding	33277
FBgn0287617	asRNA:CR46486	2L	asRNA:CR46486	ncRNA	
FBgn0287617	asRNA:CR46486	2L	asRNA:CR46486	ncRNA	
FBgn0031295	CG4375	2L	CG4375	protein_coding	33278
FBgn0031295	CG4375	2L	CG4375	protein_coding	33278
FBgn0031296	CG4415	2L	CG4415	protein_coding	33279
FBgn0031296	CG4415	2L	CG4415	protein_coding	33279
FBgn0003310	S	2L	S	protein_coding	33281
FBgn0003310	S	2L	S	protein_coding	33281
FBgn0015905	ast	2L	ast	protein_coding	33282
FBgn0015905	ast	2L	ast	protein_coding	33282
FBgn0031298	Atg4a	2L	Atg4a	protein_coding	33283
FBgn0031298	Atg4a	2L	Atg4a	protein_coding	33283
FBgn0031299	CG4629	2L	CG4629	protein_coding	33284
FBgn0031299	CG4629	2L	CG4629	protein_coding	33284
FBgn0261938	mtRNApol	2L	mtRNApol	protein_coding	33285
FBgn0261938	mtRNApol	2L	mtRNApol	protein_coding	33285
FBgn0031301	CG14339	2L	CG14339	protein_coding	33286
FBgn0031301	CG14339	2L	CG14339	protein_coding	33286
FBgn0031302	CG14340	2L	CG14340	protein_coding	33287
FBgn0031302	CG14340	2L	CG14340	protein_coding	33287
FBgn0016926	Pino	2L	Pino	protein_coding	33288
FBgn0016926	Pino	2L	Pino	protein_coding	33288
FBgn0031304	TBC1D23	2L	TBC1D23	protein_coding	33289
FBgn0031304	TBC1D23	2L	TBC1D23	protein_coding	33289
FBgn0031305	Iris	2L	Iris	protein_coding	33290
FBgn0031305	Iris	2L	Iris	protein_coding	33290
FBgn0031306	CG4577	2L	CG4577	protein_coding	33291
FBgn0031306	CG4577	2L	CG4577	protein_coding	33291
FBgn0267281	lncRNA:CR45717	2L	lncRNA:CR45717	ncRNA	19835078
FBgn0267281	lncRNA:CR45717	2L	lncRNA:CR45717	ncRNA	19835078
FBgn0031307	MFS3	2L	MFS3	protein_coding	33292
FBgn0031307	MFS3	2L	MFS3	protein_coding	33292
FBgn0283525	l(2)10685	2L	l(2)10685	protein_coding	33293
FBgn0283525	l(2)10685	2L	l(2)10685	protein_coding	33293
FBgn0031309	Tfb4	2L	Tfb4	protein_coding	33294
FBgn0031309	Tfb4	2L	Tfb4	protein_coding	33294
FBgn0031310	Vps29	2L	Vps29	protein_coding	33295
FBgn0031310	Vps29	2L	Vps29	protein_coding	33295
FBgn0261458	capt	2L	capt	protein_coding	45233
FBgn0261458	capt	2L	capt	protein_coding	45233
FBgn0264267	asRNA:CR43767	2L	asRNA:CR43767	ncRNA	14462658
FBgn0264267	asRNA:CR43767	2L	asRNA:CR43767	ncRNA	14462658
FBgn0031312	Tango14	2L	Tango14	protein_coding	33298
FBgn0031312	Tango14	2L	Tango14	protein_coding	33298
FBgn0031313	CG5080	2L	CG5080	protein_coding	33299
FBgn0031313	CG5080	2L	CG5080	protein_coding	33299
FBgn0031314	IntS14	2L	IntS14	protein_coding	33300
FBgn0031314	IntS14	2L	IntS14	protein_coding	33300
FBgn0031315	CG14341	2L	CG14341	protein_coding	33301
FBgn0031315	CG14341	2L	CG14341	protein_coding	33301
FBgn0024314	Plap	2L	Plap	protein_coding	43978
FBgn0024314	Plap	2L	Plap	protein_coding	43978
FBgn0051922	CG31922	2L	CG31922	protein_coding	319028
FBgn0051922	CG31922	2L	CG31922	protein_coding	319028
FBgn0031317	Charon	2L	Charon	protein_coding	33303
FBgn0031317	Charon	2L	Charon	protein_coding	33303
FBgn0031318	CG4887	2L	CG4887	protein_coding	33304
FBgn0031318	CG4887	2L	CG4887	protein_coding	33304
FBgn0031319	CG4896	2L	CG4896	protein_coding	33305
FBgn0031319	CG4896	2L	CG4896	protein_coding	33305
FBgn0031320	CG5126	2L	CG5126	protein_coding	33306
FBgn0031320	CG5126	2L	CG5126	protein_coding	33306
FBgn0031321	Tgt	2L	Tgt	protein_coding	33307
FBgn0031321	Tgt	2L	Tgt	protein_coding	33307
