NCBI gene (formerly Entrezgene) ID	Gene stable ID	Chromosome/scaffold name	Gene Synonym	Gene type	Gene name
499931	ENSRNOG00000020337	3	RGD1562071	protein_coding	Sla2
	ENSRNOG00000069617	2		lncRNA	
	ENSRNOG00000069837	1		protein_coding	
295012	ENSRNOG00000070569	2	LOC295012	protein_coding	RGD1563562
120100488	ENSRNOG00000069135	1		snoRNA	
	ENSRNOG00000064137	1		lncRNA	
310695	ENSRNOG00000016408	2	Kirrel	protein_coding	Kirrel1
310695	ENSRNOG00000016408	2	Neph1	protein_coding	Kirrel1
	ENSRNOG00000071210	1		snRNA	U2
310746	ENSRNOG00000019455	2	LOC310746	protein_coding	Ap4b1
	ENSRNOG00000067491	1		protein_coding	
311359	ENSRNOG00000065122	3	LOC311359	protein_coding	Hypk
311359	ENSRNOG00000065122	3	RGD1311457	protein_coding	Hypk
120100317	ENSRNOG00000064435	1		snoRNA	SNORD116
100526627	ENSRNOG00000065990	1	rno-mir-344a-2	miRNA	Mir344a-2
120100128	ENSRNOG00000065939	1		snRNA	U6
	ENSRNOG00000069092	2		lncRNA	
366102	ENSRNOG00000070655	3	ratchr3-70270952-70269987_ORF	protein_coding	Olr532
292680	ENSRNOG00000013767	1	LOC292680	protein_coding	Ccdc61
292680	ENSRNOG00000013767	1	RGD1307390	protein_coding	Ccdc61
405039	ENSRNOG00000063387	1		protein_coding	Olr310
361957	ENSRNOG00000013790	2	LOC361957	protein_coding	Mfsd1
361957	ENSRNOG00000013790	2	RGD1305751	protein_coding	Mfsd1
120093055	ENSRNOG00000052521	1		scaRNA	AABR07001573.1
	ENSRNOG00000067619	1		lncRNA	
	ENSRNOG00000062759	3		lncRNA	
296566	ENSRNOG00000015184	3	LOC296566	protein_coding	Clic3
296566	ENSRNOG00000015184	3	MGC109225	protein_coding	Clic3
120100287	ENSRNOG00000062791	1		snoRNA	SNORD115
260323	ENSRNOG00000020893	2	Mrt1	protein_coding	Snx27
405214	ENSRNOG00000064203	4	SCR G-14	protein_coding	Olr825
405214	ENSRNOG00000064203	4	SCR G-15	protein_coding	Olr825
292597	ENSRNOG00000032699	1	LOC292597	protein_coding	Ttyh1
100526589	ENSRNOG00000035616	1	rno-mir-3574	miRNA	Mir3574
100314053	ENSRNOG00000035616	1	rno-mir-3574	miRNA	Mir3574
108349467	ENSRNOG00000069698	1		lncRNA	
296072	ENSRNOG00000070996	3	LOC296072	protein_coding	Spred1
120100365	ENSRNOG00000063324	1		snoRNA	Snora20
	ENSRNOG00000062446	2		lncRNA	
120100215	ENSRNOG00000058041	1		snRNA	U7
	ENSRNOG00000063227	1		lncRNA	
120100659	ENSRNOG00000062864	2		lncRNA	
311088	ENSRNOG00000027016	3	LOC311088	protein_coding	Cobll1
292739	ENSRNOG00000018408	1	LOC292739	protein_coding	RGD1307554
120100254	ENSRNOG00000064960	1		snoRNA	SNORD115
405384	ENSRNOG00000030782	1		protein_coding	Olr283
308800	ENSRNOG00000016421	1	C	protein_coding	Tyr
308800	ENSRNOG00000016421	1	Tyr_mapped	protein_coding	Tyr
	ENSRNOG00000068207	2		lncRNA	
120100170	ENSRNOG00000058299	1		snRNA	U6
499878	ENSRNOG00000065756	3	LOC499878	protein_coding	Mfap1a
499878	ENSRNOG00000065756	3	RGD1562232	protein_coding	Mfap1a
292847	ENSRNOG00000018334	1	Atpbd3	protein_coding	Ctu1
292847	ENSRNOG00000018334	1	LOC292847	protein_coding	Ctu1
292847	ENSRNOG00000018334	1	RGD1308740	protein_coding	Ctu1
120100173	ENSRNOG00000070685	1		snRNA	U6
100526587	ENSRNOG00000060004	1	rno-mir-3572	miRNA	Mir3572
24883	ENSRNOG00000013074	3		protein_coding	Wt1
	ENSRNOG00000069399	1		protein_coding	
	ENSRNOG00000067907	1		lncRNA	
353317	ENSRNOG00000014726	1	O-MACS	protein_coding	Acsm4
	ENSRNOG00000063196	1		lncRNA	
362223	ENSRNOG00000004967	3	LOC362223	protein_coding	Snrpb2
	ENSRNOG00000060273	1		snoRNA	AABR07006093.2
120100252	ENSRNOG00000070216	1		snoRNA	SNORD115
	ENSRNOG00000068917	2		lncRNA	
120100389	ENSRNOG00000051969	1	Gm26130	snoRNA	AABR07071864.1
497039	ENSRNOG00000065221	2	Amy2	protein_coding	Amy2a3
497039	ENSRNOG00000065221	2	LOC100911494	protein_coding	Amy2a3
497039	ENSRNOG00000065221	2	PA	protein_coding	Amy2a3
364656	ENSRNOG00000023407	1	L36mt	protein_coding	Mrpl36
364656	ENSRNOG00000023407	1	LOC364656	protein_coding	Mrpl36
364656	ENSRNOG00000023407	1	MRP-L36	protein_coding	Mrpl36
	ENSRNOG00000035654	1	rno-mir-99b	miRNA	Mir99b
171398	ENSRNOG00000061890	1	MGC114265	protein_coding	Ust5r
292406	ENSRNOG00000010529	1	TSP-2	protein_coding	Thbs2
	ENSRNOG00000053392	2		lncRNA	AC095678.2
293938	ENSRNOG00000012684	1	LOC293938	protein_coding	Bloc1s2
293938	ENSRNOG00000012684	1	RSEP1	protein_coding	Bloc1s2
293938	ENSRNOG00000012684	1	Sep1	protein_coding	Bloc1s2
120100403	ENSRNOG00000069040	1		snoRNA	
365042	ENSRNOG00000014258	1	LOC365042	lncRNA	Rab32
365042	ENSRNOG00000014258	1	RGD1559997	lncRNA	Rab32
	ENSRNOG00000010918	1		lncRNA	
404876	ENSRNOG00000030825	3		protein_coding	Olr533
	ENSRNOG00000063357	3		protein_coding	
120100319	ENSRNOG00000066483	1		snoRNA	SNORD116
192152	ENSRNOG00000014617	4	MGC108592	protein_coding	Tgoln2
192152	ENSRNOG00000014617	4	Tgn38	protein_coding	Tgoln2
192152	ENSRNOG00000014617	4	Tgoln1	protein_coding	Tgoln2
192152	ENSRNOG00000014617	4	Ttgn1	protein_coding	Tgoln2
120100462	ENSRNOG00000051780	1		snoRNA	AC129234.1
108349691	ENSRNOG00000067027	1		protein_coding	
100314158	ENSRNOG00000035560	1	rno-mir-150	miRNA	Mir150
296840	ENSRNOG00000008980	4	LOC296840	protein_coding	Rbm48
296840	ENSRNOG00000008980	4	MGC112752	protein_coding	Rbm48
296840	ENSRNOG00000008980	4	RGD1310794	protein_coding	Rbm48
499094	ENSRNOG00000019416	1		protein_coding	
365336	ENSRNOG00000017366	1	ratchr1-162978233-162977295_ORF	protein_coding	Olr192
500048	ENSRNOG00000007608	4	LOC500048	protein_coding	Fezf1
500048	ENSRNOG00000007608	4	RGD1560480	protein_coding	Fezf1
	ENSRNOG00000066968	2		lncRNA	
120100427	ENSRNOG00000053012	1		snoRNA	AABR07006451.2
120100432	ENSRNOG00000059864	1		snoRNA	Gm24794
120100288	ENSRNOG00000053838	1		snoRNA	SNORD115
	ENSRNOG00000068567	1		lncRNA	
	ENSRNOG00000066506	2		lncRNA	
296565	ENSRNOG00000015294	3	LOC296565	protein_coding	Paxx
296565	ENSRNOG00000015294	3	RGD1306215	protein_coding	Paxx
104796149	ENSRNOG00000063945	1	Mir6317	miRNA	Mir6317-1
104796149	ENSRNOG00000063945	1	rno-mir-6317	miRNA	Mir6317-1
104796149	ENSRNOG00000063945	1	rno-mir-6317-1	miRNA	Mir6317-1
102465155	ENSRNOG00000063945	1	Mir6317	miRNA	Mir6317-1
102465155	ENSRNOG00000063945	1	rno-mir-6317	miRNA	Mir6317-1
102465155	ENSRNOG00000063945	1	rno-mir-6317-1	miRNA	Mir6317-1
404884	ENSRNOG00000056110	3		protein_coding	Olr500
366206	ENSRNOG00000028721	3	LOC366206	protein_coding	Otor
102554288	ENSRNOG00000067832	3		protein_coding	
100911574	ENSRNOG00000066101	1		protein_coding	Gm9999
	ENSRNOG00000057261	1		misc_RNA	Metazoa_SRP
	ENSRNOG00000070161	1		protein_coding	
	ENSRNOG00000065242	1		lncRNA	
679825	ENSRNOG00000063217	1	LOC679825	protein_coding	Rrlt
108350428	ENSRNOG00000064622	3		lncRNA	
309212	ENSRNOG00000036631	1	Gpr44	protein_coding	Ptgdr2
309212	ENSRNOG00000036631	1	LOC309212	protein_coding	Ptgdr2
120100331	ENSRNOG00000066494	1		snoRNA	SNORD116
	ENSRNOG00000062875	2		lncRNA	
292126	ENSRNOG00000016659	1	Fsap	protein_coding	Habp2
292126	ENSRNOG00000016659	1	Habp	protein_coding	Habp2
292126	ENSRNOG00000016659	1	PHBP	protein_coding	Habp2
120100360	ENSRNOG00000059820	1		snoRNA	AC110837.2
102465154	ENSRNOG00000049846	1	rno-mir-344g	miRNA	Mir344g
309041	ENSRNOG00000014946	1	LOC309041	protein_coding	Thumpd1
309041	ENSRNOG00000014946	1	MGC105734	protein_coding	Thumpd1
	ENSRNOG00000067771	4		protein_coding	
	ENSRNOG00000070965	1		lncRNA	
84405	ENSRNOG00000009468	2	CLMF p35	protein_coding	Il12a
84405	ENSRNOG00000009468	2	IL-12A	protein_coding	Il12a
120100463	ENSRNOG00000065570	1		snoRNA	
	ENSRNOG00000063736	2		protein_coding	
	ENSRNOG00000069752	2		lncRNA	
	ENSRNOG00000069390	1		protein_coding	
308576	ENSRNOG00000020318	1	MGC94448	protein_coding	Pnkp
361192	ENSRNOG00000047406	1		protein_coding	RGD1308544
	ENSRNOG00000070104	1		lncRNA	
500007	ENSRNOG00000009135	4		protein_coding	1700109H08Rik
60418	ENSRNOG00000050445	1	Mir16	protein_coding	Gde1
295767	ENSRNOG00000067778	3		protein_coding	Olr514
120100327	ENSRNOG00000069614	1		snoRNA	SNORD116
120100132	ENSRNOG00000069896	1		snRNA	U6
	ENSRNOG00000067200	2		lncRNA	
100313974	ENSRNOG00000035565	1	rno-mir-330	miRNA	Mir330
405378	ENSRNOG00000031110	1		protein_coding	Olr53
297522	ENSRNOG00000010628	4	MGC105923	protein_coding	Sec13
297522	ENSRNOG00000010628	4	Sec13l1	protein_coding	Sec13
	ENSRNOG00000058224	1		ribozyme	RNaseP_nuc
	ENSRNOG00000067930	1		lncRNA	
311361	ENSRNOG00000022491	3	LOC311361	protein_coding	Wdr76
311361	ENSRNOG00000022491	3	RGD1309616	protein_coding	Wdr76
680315	ENSRNOG00000051199	3	LOC499820	protein_coding	Fsip2
680315	ENSRNOG00000051199	3	LOC680315	protein_coding	Fsip2
680315	ENSRNOG00000051199	3	LOC680325	protein_coding	Fsip2
	ENSRNOG00000016597	1		protein_coding	AABR07006081.1
120100237	ENSRNOG00000064367	1		snoRNA	SNORD115
120100155	ENSRNOG00000064092	1		snRNA	U6
	ENSRNOG00000064252	2		lncRNA	
102466148	ENSRNOG00000067132	1	rno-mir-344i	miRNA	Mir344i
120100122	ENSRNOG00000068454	1		snRNA	U6
120100121	ENSRNOG00000068454	1		snRNA	U6
	ENSRNOG00000067999	4		pseudogene	
414138	ENSRNOG00000028095	3		protein_coding	Lcn6
292699	ENSRNOG00000018953	1	LOC292699	protein_coding	Cblc
292699	ENSRNOG00000018953	1	MGC124804	protein_coding	Cblc
	ENSRNOG00000069628	1		lncRNA	
120098765	ENSRNOG00000062564	1		protein_coding	
	ENSRNOG00000065292	1		lncRNA	
116642	ENSRNOG00000018940	1	CNT 1	protein_coding	Slc28a1
116642	ENSRNOG00000018940	1	Cnt1	protein_coding	Slc28a1
	ENSRNOG00000068976	1		protein_coding	
	ENSRNOG00000052649	2		lncRNA	AABR07008309.1
308451	ENSRNOG00000013945	1	IP3K C	protein_coding	Itpkc
308451	ENSRNOG00000013945	1	IP3K-C	protein_coding	Itpkc
	ENSRNOG00000068179	3		lncRNA	
120100464	ENSRNOG00000068368	1		snoRNA	
	ENSRNOG00000070203	1		snoRNA	SNORD115
120100157	ENSRNOG00000065397	1		snRNA	U6
	ENSRNOG00000067004	2		lncRNA	
100314266	ENSRNOG00000040447	1	rno-mir-708	miRNA	Mir708
308562	ENSRNOG00000033706	1	Klnm	protein_coding	Klk14
308562	ENSRNOG00000033706	1	LOC308562	protein_coding	Klk14
100361060	ENSRNOG00000031947	1		protein_coding	AABR07071986.1
365179	ENSRNOG00000016565	1		protein_coding	
	ENSRNOG00000066104	1		lncRNA	
295715	ENSRNOG00000065362	3	LOC100912339	protein_coding	Olr443
	ENSRNOG00000066508	1		lncRNA	
405931	ENSRNOG00000061455	1		protein_coding	Olr354
502774	ENSRNOG00000009172	4	LOC502774	protein_coding	Cpvl
502774	ENSRNOG00000009172	4	MGC114536	protein_coding	Cpvl
65144	ENSRNOG00000000096	2	Clamp	protein_coding	Pdzk1
116466	ENSRNOG00000014385	2		protein_coding	Wnt2b
29313	ENSRNOG00000019138	1	Scgf	protein_coding	Clec11a
405904	ENSRNOG00000015424	1		protein_coding	Olr51
81673	ENSRNOG00000011135	2		protein_coding	Gtf2b
293810	ENSRNOG00000013198	1		protein_coding	Olr377
120100209	ENSRNOG00000056351	1		snRNA	U7
120100259	ENSRNOG00000065052	1		snoRNA	SNORD115
100314236	ENSRNOG00000035572	1	rno-mir-125a	miRNA	Mir125a
294892	ENSRNOG00000022511	2		protein_coding	tGap1
	ENSRNOG00000066793	2		lncRNA	
	ENSRNOG00000069359	1		lncRNA	
500051	ENSRNOG00000021695	4	LOC500051	protein_coding	Hyal6
120100411	ENSRNOG00000069866	1		snoRNA	
	ENSRNOG00000068014	1		protein_coding	
	ENSRNOG00000065728	1		lncRNA	
	ENSRNOG00000065452	3		lncRNA	
295661	ENSRNOG00000006731	3	LOC295661	protein_coding	Spc25
295661	ENSRNOG00000006731	3	MGC108932	protein_coding	Spc25
295661	ENSRNOG00000006731	3	RGD1307811	protein_coding	Spc25
295661	ENSRNOG00000006731	3	Spbc25	protein_coding	Spc25
	ENSRNOG00000066286	2		lncRNA	
499095	ENSRNOG00000065649	1		protein_coding	Zfp94
	ENSRNOG00000066961	1		lncRNA	
120100277	ENSRNOG00000068275	1		snoRNA	SNORD115
293794	ENSRNOG00000053559	1	ratchr1-216468017-216468964_ORF	protein_coding	Olr357
406044	ENSRNOG00000067357	3	LOC100909542	protein_coding	Olr444
	ENSRNOG00000065871	2		lncRNA	
100314122	ENSRNOG00000035553	1	rno-mir-202	miRNA	Mir202
499583	ENSRNOG00000065021	2	LOC499583	protein_coding	Naaladl2
499583	ENSRNOG00000065021	2	RGD1565147	protein_coding	Naaladl2
	ENSRNOG00000056667	1		snoRNA	AC109741.1
	ENSRNOG00000064785	1		snRNA	U2
684365	ENSRNOG00000050663	1		protein_coding	Olfr572
312451	ENSRNOG00000014753	4	LOC312451	protein_coding	Tcf7l1
312451	ENSRNOG00000014753	4	Tcf3	protein_coding	Tcf7l1
685793	ENSRNOG00000064423	1		protein_coding	
	ENSRNOG00000063455	1		lncRNA	
292584	ENSRNOG00000016574	1	LOC292584	protein_coding	Fiz1
292584	ENSRNOG00000016574	1	RGD1306359	protein_coding	Fiz1
	ENSRNOG00000069279	2		lncRNA	
	ENSRNOG00000062826	2		protein_coding	Gm17651
	ENSRNOG00000055971	1		lncRNA	AABR07000544.1
120100324	ENSRNOG00000068157	1		snoRNA	SNORD116
691398	ENSRNOG00000032137	1	LOC691398	protein_coding	Foxb2
100526585	ENSRNOG00000050364	1	rno-mir-3569	miRNA	Mir3569
120100368	ENSRNOG00000060473	1		snoRNA	AC098942.1
	ENSRNOG00000068108	1		snRNA	U7
102548695	ENSRNOG00000055608	1		protein_coding	
366142	ENSRNOG00000008282	3	LOC366142	protein_coding	Elf5
	ENSRNOG00000064687	1		lncRNA	
502357	ENSRNOG00000048436	1		protein_coding	Olfr574
266714	ENSRNOG00000013641	1		protein_coding	Myo7a
81738	ENSRNOG00000020347	1		protein_coding	Nup98
	ENSRNOG00000064568	3		lncRNA	
	ENSRNOG00000062622	2		lncRNA	
295765	ENSRNOG00000052014	3	ratchr3-69645935-69645003_ORF	protein_coding	Olr510
	ENSRNOG00000068500	2		lncRNA	
	ENSRNOG00000065259	1		lncRNA	
297113	ENSRNOG00000011052	4	Gars1	protein_coding	Gars
297113	ENSRNOG00000011052	4	GlyRS	protein_coding	Gars
297113	ENSRNOG00000011052	4	LOC297113	protein_coding	Gars
297113	ENSRNOG00000011052	4	RGD1559871	protein_coding	Gars
100314047	ENSRNOG00000035588	1	rno-mir-194-2	miRNA	Mir194-2
120100418	ENSRNOG00000053464	1		snoRNA	AC123083.1
24265	ENSRNOG00000016837	1	Ckmm	protein_coding	Ckm
24265	ENSRNOG00000016837	1	CPK-M	protein_coding	Ckm
24265	ENSRNOG00000016837	1	M-CK	protein_coding	Ckm
120100250	ENSRNOG00000069139	1		snoRNA	SNORD115
	ENSRNOG00000068222	1		protein_coding	
681006	ENSRNOG00000025953	1		protein_coding	
361964	ENSRNOG00000009792	2	LOC361964	protein_coding	Zbbx
361964	ENSRNOG00000009792	2	MGC114436	protein_coding	Zbbx
361964	ENSRNOG00000009792	2	RGD1308632	protein_coding	Zbbx
295672	ENSRNOG00000011758	3	LOC295672	protein_coding	Fkbp7
	ENSRNOG00000052367	2		lncRNA	AABR07009634.1
	ENSRNOG00000066571	1		lncRNA	
	ENSRNOG00000068350	1		lncRNA	
499297	ENSRNOG00000061525	1	LOC499297	protein_coding	RGD1562011
499297	ENSRNOG00000061525	1	Mgre	protein_coding	RGD1562011
102466621	ENSRNOG00000046704	1	rno-mir-3099	miRNA	Mir3099
365324	ENSRNOG00000034083	1		protein_coding	Olr67
120100193	ENSRNOG00000057516	1		snRNA	U6
120100487	ENSRNOG00000053512	1		snoRNA	AABR07005790.2
497761	ENSRNOG00000015821	2	CD2R	protein_coding	Cd2
497761	ENSRNOG00000015821	2	LFA-2	protein_coding	Cd2
497761	ENSRNOG00000015821	2	LFA2	protein_coding	Cd2
497761	ENSRNOG00000015821	2	OX-34	protein_coding	Cd2
497761	ENSRNOG00000015821	2	OX34	protein_coding	Cd2
308339	ENSRNOG00000016608	1	LOC308339	protein_coding	Zfp579
308339	ENSRNOG00000016608	1	Znf579	protein_coding	Zfp579
499135	ENSRNOG00000027112	1		protein_coding	MGC114499
120100248	ENSRNOG00000069192	1		snoRNA	SNORD115
295649	ENSRNOG00000004679	3	LOC295649	protein_coding	Fign
308703	ENSRNOG00000012730	1	LOC308703	protein_coding	Lrrk1
	ENSRNOG00000068539	1		lncRNA	
	ENSRNOG00000052903	2		lncRNA	AABR07009634.2
	ENSRNOG00000052937	1		snoRNA	AABR07006585.1
404868	ENSRNOG00000037833	3		protein_coding	Olr563
293655	ENSRNOG00000018117	1	MGC94599	protein_coding	Ndufv1
102466622	ENSRNOG00000049017	1	rno-mir-6316	miRNA	Mir6316
120100354	ENSRNOG00000051561	1		snoRNA	AABR07005790.1
	ENSRNOG00000069848	2		lncRNA	
120100284	ENSRNOG00000067136	1		snoRNA	SNORD115
405934	ENSRNOG00000063952	1		protein_coding	Olr372
296813	ENSRNOG00000022837	4	LOC296813	protein_coding	Slc25a40
296813	ENSRNOG00000022837	4	MGC112631	protein_coding	Slc25a40
296813	ENSRNOG00000022837	4	RGD1308774	protein_coding	Slc25a40
	ENSRNOG00000068720	1		lncRNA	
308408	ENSRNOG00000016362	1	LOC308408	protein_coding	Gpr4
308408	ENSRNOG00000016362	1	MGC116369	protein_coding	Gpr4
500137	ENSRNOG00000026055	4	LOC500137	protein_coding	Neurod6
500137	ENSRNOG00000026055	4	RGD1562793	protein_coding	Neurod6
